batch_size,eta,epochs,layers,nodes,accuracy
1,0.01,1000,3,16,0.3305894580549369
1,0.01,1000,3,32,0.42453254145013614
1,0.01,1000,3,48,0.40718732986884437
1,0.01,1000,3,64,0.43656520663202175
1,0.01,1000,3,128,0.4281158129175947
1,0.001,100,1,16,0.22742192526602328
1,0.001,100,1,32,0.24965998515219004
1,0.001,100,1,48,0.2572293986636971
1,0.001,100,1,64,0.25901113585746105
1,0.001,100,1,128,0.26123335807968323
1,0.001,100,2,16,0.38896213808463254
1,0.001,100,2,32,0.3849492699826776
1,0.001,100,2,48,0.39384409799554565
1,0.001,100,2,64,0.38628557287800047
1,0.001,100,2,128,0.39919425884682014
1,0.001,100,3,16,0.32668448403860434
1,0.001,100,3,32,0.4049779757485771
1,0.001,100,3,48,0.42233902499381343
1,0.001,100,3,64,0.41253848057411535
1,0.001,100,3,128,0.43301163078445926
1,0.001,200,1,16,0.2857045285820341
1,0.001,200,1,32,0.30084929472902744
1,0.001,200,1,48,0.3168562237070033
1,0.001,200,1,64,0.30530858698341995
1,0.001,200,1,128,0.31464093046275676
1,0.001,200,2,16,0.3742707250680525
1,0.001,200,2,32,0.42100074239049745
1,0.001,200,2,48,0.41966938876515714
1,0.001,200,2,64,0.4356872061370948
1,0.001,200,2,128,0.4343548626577579
1,0.001,200,3,16,0.36575897055184364
1,0.001,200,3,32,0.39649195743627813
1,0.001,200,3,48,0.42366542934917095
1,0.001,200,3,64,0.4263291264538481
1,0.001,200,3,128,0.4290056916604801
1,0.001,500,1,16,0.39563375402128187
1,0.001,500,1,32,0.4027458549863895
1,0.001,500,1,48,0.3983063598119277
1,0.001,500,1,64,0.40141450136104934
1,0.001,500,1,128,0.4152140559267508
1,0.001,500,2,16,0.437896560257362
1,0.001,500,2,32,0.44724672110863645
1,0.001,500,2,48,0.449924276169265
1,0.001,500,2,64,0.44770403365503586
1,0.001,500,2,128,0.44369116555308097
1,0.001,500,3,16,0.359665429349171
1,0.001,500,3,32,0.42767730759712935
1,0.001,500,3,48,0.4565988616679039
1,0.001,500,3,64,0.4503726800296956
1,0.001,500,3,128,0.4574837911408067
1,0.001,800,1,16,0.421003711952487
1,0.001,800,1,32,0.42722890373669886
1,0.001,800,1,48,0.42589952981935164
1,0.001,800,1,64,0.430787428854244
1,0.001,800,1,128,0.43301855976243503
1,0.001,800,2,16,0.4477000742390497
1,0.001,800,2,32,0.4507983172482059
1,0.001,800,2,48,0.45304330611234855
1,0.001,800,2,64,0.4566048007918832
1,0.001,800,2,128,0.46283593170007425
1,0.001,800,3,16,0.4361217520415739
1,0.001,800,3,32,0.458382578569661
1,0.001,800,3,48,0.43700965107646617
1,0.001,800,3,64,0.4730541945063103
1,0.001,800,3,128,0.45881316505815395
1,0.001,1000,1,16,0.4405800544419698
1,0.001,1000,1,32,0.4410383568423658
1,0.001,1000,1,48,0.429894580549369
1,0.001,1000,1,64,0.438354862657758
1,0.001,1000,1,128,0.44146894333085873
1,0.001,1000,2,16,0.4396753278891364
1,0.001,1000,2,32,0.4588210838901262
1,0.001,1000,2,48,0.46282702301410544
1,0.001,1000,2,64,0.46326651818856723
1,0.001,1000,2,128,0.46370898292501855
1,0.001,1000,3,16,0.42943924771096265
1,0.001,1000,3,32,0.4414570650829003
1,0.001,1000,3,48,0.4574867607027963
1,0.001,1000,3,64,0.45703142786439
1,0.001,1000,3,128,0.47127740658252903
16,0.1,100,1,16,0.34711210096510764
16,0.1,100,1,32,0.36491759465478846
16,0.1,100,1,48,0.36581143281366
16,0.1,100,1,64,0.3747151695124969
16,0.1,100,1,128,0.38007027963375406
16,0.1,100,2,16,0.2786636971046771
16,0.1,100,2,32,0.3306785449146251
16,0.1,100,2,48,0.34756149467953473
16,0.1,100,2,64,0.35336302895322935
16,0.1,100,2,128,0.3586953724325662
16,0.1,100,3,16,0.18517891610987378
16,0.1,100,3,32,0.3734046028210839
16,0.1,100,3,48,0.3408690918089582
16,0.1,100,3,64,0.3431101212571146
16,0.1,100,3,128,0.3298381588715665
16,0.1,200,1,16,0.37873496659242767
16,0.1,200,1,32,0.39072902746844845
16,0.1,200,1,48,0.39207423904974015
16,0.1,200,1,64,0.4023113090819105
16,0.1,200,1,128,0.3929660975006186
16,0.1,200,2,16,0.32575798069784706
16,0.1,200,2,32,0.3809185845087849
16,0.1,200,2,48,0.36137787676317745
16,0.1,200,2,64,0.39473397673843114
16,0.1,200,2,128,0.37649987626825043
16,0.1,200,3,16,0.354689433308587
16,0.1,200,3,32,0.27632269240287055
16,0.1,200,3,48,0.3409166048007919
16,0.1,200,3,64,0.3720316753278891
16,0.1,200,3,128,0.3836080178173719
16,0.1,500,1,16,0.36803068547389256
16,0.1,500,1,32,0.3894055926750804
16,0.1,500,1,48,0.40098292501855975
16,0.1,500,1,64,0.4009819351645632
16,0.1,500,1,128,0.4036416728532542
16,0.1,500,2,16,0.3746963622865627
16,0.1,500,2,32,0.36627072506805247
16,0.1,500,2,48,0.38851967334818116
16,0.1,500,2,64,0.38316753278891363
16,0.1,500,2,128,0.4076555308092057
16,0.1,500,3,16,0.1766503340757238
16,0.1,500,3,32,0.39165652066320217
16,0.1,500,3,48,0.4036456322692403
16,0.1,500,3,64,0.4072091066567681
16,0.1,500,3,128,0.3716396931452611
16,0.1,800,1,16,0.40631724820588955
16,0.1,800,1,32,0.42679336797822315
16,0.1,800,1,48,0.40229646127196234
16,0.1,800,1,64,0.4178678544914625
16,0.1,800,1,128,0.42188072259341747
16,0.1,800,2,16,0.35474387527839646
16,0.1,800,2,32,0.4089928235585251
16,0.1,800,2,48,0.3773927245731255
16,0.1,800,2,64,0.4014441969809453
16,0.1,800,2,128,0.44100470180648355
16,0.1,800,3,16,0.24181044295966342
16,0.1,800,3,32,0.37470527097253153
16,0.1,800,3,48,0.41521999505073
16,0.1,800,3,64,0.43389557040336546
16,0.1,800,3,128,0.4214432071269488
16,0.1,1000,1,16,0.39341351150705267
16,0.1,1000,1,32,0.41432912645384806
16,0.1,1000,1,48,0.41610492452363274
16,0.1,1000,1,64,0.4169858945805494
16,0.1,1000,1,128,0.4285592675080426
16,0.1,1000,2,16,0.3853887651571393
16,0.1,1000,2,32,0.4054481563969315
16,0.1,1000,2,48,0.41564068299925755
16,0.1,1000,2,64,0.39785399653551096
16,0.1,1000,2,128,0.4191952487008167
16,0.1,1000,3,16,0.30569858945805495
16,0.1,1000,3,32,0.39694630042068796
16,0.1,1000,3,48,0.40499579312051476
